10000.0	  0.01527142   0.032852 	0.007682889	0.002187945
50000.0	  0.07698059   0.087534 	0.040456815	0.010839467
100000.0  0.15110850   0.182531 	0.084414727	0.023106634
200000.0  0.31326651   0.359884  0.195694244	0.052886683
300000.0  0.46746468   0.442168 	0.332986458	0.085908712
400000.0  0.62213706   0.663819 	0.475360527	0.127317575
500000.0  0.78529977   0.830945 	0.612894536	0.154420555
600000.0  0.94763851   0.936043 	0.783973221	0.200047931
700000.0  1.09316396   1.150591 	0.959475731	0.249349065
800000.0  1.25856947   1.304290 	1.133712988	0.308460018
900000.0  1.40731787   1.374318 	1.275550512	0.344190838
1.0e6	  1.55956792   1.576433 	1.412459571	0.365000046
1.5e6	  2.51560473   2.464630  2.270657205	0.576441621
2.0e6	  3.68770313   3.171794 	3.142704774	0.902224574
3.0e6	  6.24603724   4.917346 	4.773613983	1.478234075
4.0e6	  9.45288395   6.510780 	6.401150925	1.94922044
5.0e6	  13.3776493   8.831237 	8.153974824	2.410830211
6.0e6	  18.7776420   10.55857  9.752387323	3.154935835
7.0e6	  23.4688329   12.71366 	12.690014123	3.430197822
8.0e6	  30.1049060   15.26938 	14.528080486	4.418234812
9.0e6	  35.6711537   18.64922 	16.309242235	4.480990901
1.0e7	  45.4522049   20.29501 	18.538169086	4.912850622
