10000.0	0.026653	0.056994915	0.017611986	0.007922824
50000.0	0.1407339	0.167294502	0.08830698	0.044907453
100000.0	0.2635438	0.316551446	0.179840824	0.098435913
200000.0	0.5470619	0.64154458	0.387969748	0.190196653
300000.0	0.8563711	0.836227893	0.635060174	0.293296497
400000.0	1.1249668	1.235788106	0.907958347	0.37498605
500000.0	1.4170343	1.554531574	1.170947124	0.540450883
600000.0	1.6941277	1.779597282	1.458991594	0.608987499
700000.0	2.0091958	2.119302272	1.727193247	0.690286859
800000.0	2.4529058	2.465498924	1.98299382	0.786746698
900000.0	2.5358996	2.676106214	2.344451437	0.947628491
1.0e6	2.8374471	3.096881151	2.579266053	1.040441277
1.5e6	4.410989	4.67228651	4.088295239	1.697323645
2.0e6	6.2828235	6.198250055	5.543677264	2.268191361
3.0e6	11.530809	9.616283178	8.420347312	3.34207712
4.0e6	20.2863495	13.27134561	11.697134879	4.752005981
5.0e6	25.45162	19.04714465	14.836092661	6.543382675
6.0e6	39.19465	23.7154088	18.618635256	8.647893195
7.0e6	49.8677732	29.17840218	21.744249797	8.788166675
8.0e6	59.4872786	36.65862822	24.786708881	10.083409114
9.0e6	76.07555	42.93665599	28.307208723	11.778129734
1.0e7	92.3296999	50.47215747	32.556817226	13.529022395
