10000.0	0.006419224	0.000823542
50000.0	0.034870172000000005	0.003243812
100000.0	0.07103047300000001	0.007591925
200000.0	0.16598710900000002	0.013912498
300000.0	0.271734227	0.023382375
400000.0	0.403307069	0.031565524000000005
500000.0	0.546917787	0.039803167
600000.0	0.724383962	0.049794817000000005
700000.0	0.850656806	0.058014685
800000.0	1.002438721	0.066965208
900000.0	1.184147914	0.081977505
1.0e6	1.3378221780000001	0.08923923800000001
1.5e6	2.20023901	0.140346789
2.0e6	3.113154438	0.193765187
3.0e6	5.073732535	0.316832848
4.0e6	6.989229499	0.46645447900000003
5.0e6	9.140158213000001	0.546966921
6.0e6	11.000487487000001	0.6398762640000001
7.0e6	13.217150287	0.823054429
8.0e6	15.518270500000002	0.932326713
9.0e6	18.013462102000002	0.9464797330000001
1.0e7	20.386062154	1.136100739
