10000.0	0.026653	0.056994915	0.017699096	0.007022933
50000.0	0.1407339	0.167294502	0.081746833	0.028171274
100000.0	0.2635438	0.316551446	0.17201149	0.053478246
200000.0	0.5470619	0.64154458	0.498956424	0.107244145
300000.0	0.8563711	0.836227893	0.857382175	0.171058788
400000.0	1.1249668	1.235788106	1.216564805	0.237331215
500000.0	1.4170343	1.554531574	1.571270658	0.299434435
600000.0	1.6941277	1.779597282	1.897112455	0.369531197
700000.0	2.0091958	2.119302272	2.283240522	0.433226647
800000.0	2.4529058	2.465498924	2.607507798	0.515687022
900000.0	2.5358996	2.676106214	2.936585409	0.801784422
1.0e6	2.8374471	3.096881151	3.31798838	0.643926622
1.5e6	4.410989	4.67228651	5.158690733	1.012985413
2.0e6	6.2828235	6.198250055	6.933901352	1.444622831
3.0e6	11.530809	9.616283178	10.709519573	2.338896741
4.0e6	20.2863495	13.27134561	14.43314021	3.034614309
5.0e6	25.45162	19.04714465	18.12307493	3.741735022
6.0e6	39.19465	23.7154088	21.880167652	4.751800617
7.0e6	49.8677732	29.17840218	25.550615867	5.469255597
8.0e6	59.4872786	36.65862822	29.307265495	6.287457744
9.0e6	76.07555	42.93665599	32.991516849	6.926087036
1.0e7	92.3296999	50.47215747	36.918870342	7.899956478
